id,title,author,translator,publisher,year,category,tags,status,progress,rating,startedAt,finishedAt,cover,summary,notes,quotes,link
wuzetian-mengman,武则天,蒙曼,,广西师范大学出版社,2015,历史,唐史;人物传记,reading,21,,2025/5/1,,,从才人到女皇，蒙曼讲武则天的权力之路与时代底色。,"读到第 36 章。
注意作者对「关陇集团」与「科举新贵」这条线索的铺排。",她最大的本事，是让所有人低估她。,
suitang-chenyinke,隋唐制度渊源略论稿 唐代政治史述论稿,陈寅恪,,商务印书馆,2011,历史,唐史;制度史;学术经典,done,100,5,2026/1/10,2026/4/5,,隋唐制度三源说与唐代政治集团分析，二十世纪中国史学的奠基之作。,「关中本位政策」一节的论证方法值得反复揣摩。,华夏民族之文化，历数千载之演进，造极于赵宋之世。;治国者，必先正其制度；制度不正，虽有贤才亦无所施。,
sample-hongloumeng,红楼梦,曹雪芹,,人民文学出版社,1996,文学,古典小说;常读常新,done,100,5,2024/11/2,2025/2/18,images/sample-hongloumeng.jpg,一座大观园，写尽盛衰与人情。,,世事洞明皆学问，人情练达即文章。,
sample-sapiens,人类简史,尤瓦尔·赫拉利,林俊宏,中信出版社,2014,社科,人类学;认知革命,done,100,4,2025/6/1,2025/7/12,images/sample-sapiens.jpg,从认知革命到科学革命，重新讲述人类的七万年。,第三部分关于「想象的秩序」最有启发。,,
sample-thinking-fast-slow,思考，快与慢,丹尼尔·卡尼曼,胡晓姣 等,中信出版社,2012,社科,心理学;决策,reading,45,,2026/8/1,,,系统 1 与系统 2，人类判断的两套机制。,,,
sample-yuanqu,元曲选,臧懋循 编,,中华书局,1958,文学,古典戏曲;诗词曲,wish,,,,,,想系统读一遍散曲与杂剧。,,,
sample-zhongyong,中庸章句,朱熹,,中华书局,2011,经典,四书;常读常新,wish,,,,,,配合《四书章句集注》一起读。,,,
万历十五年,万历十五年,黄仁宇,,,,历史,明史;大历史观,done,100,5,,2026/8/20,images/万历十五年.jpg,一个平淡年份的横切面，处处显出制度积弊,,,
sunzibingfa,孙子兵法,孙子,,人民文学出版社,2020,军事,历史;军事,done,100,5,2026/1/1,2026/9/4,images/孙子兵法.jpg,,,,
稀缺,稀缺,史蒂夫·赖特(Steven Wright),,江西文学出版社,2026,认知,心理,done,100,5,2026/1/2,2026/9/5,images/稀缺.jpg,,,,
